Recipe_ID,Cuisine,Ingredients,Category,Cooking_Time,Difficulty,Cooking_Method,Serving_Size
1,Mediterranean,"Yogurt, Paprika, Tomato, Feta Cheese, Lemon, Chickpeas, Olive Oil",Lunch,76,Hard,Roasting,5
2,French,"Garlic, Flour, Milk, Cheese, Thyme, White Wine",Dinner,94,Easy,Baking,3
3,Mexican,"Cumin, Cilantro, Chili Powder, Corn, Cheese, Lime, Salsa",Dinner,57,Hard,Grilling,5
4,Italian,"Basil, Balsamic Vinegar, Parmesan, Mozzarella, Tomato",Dinner,28,Hard,Grilling,3
5,Japanese,"Miso, Sesame Seeds, Soy Sauce, Dashi, Tofu, Ginger, Wasabi, Rice, Mirin, Seaweed",Lunch,62,Easy,Sauteing,6
6,Chinese,"Hoisin Sauce, Garlic, Noodles, Soy Sauce, Tofu, Sesame Oil, Spring Onion",Dessert,70,Hard,Boiling,2
7,Mexican,"Cheese, Tortilla, Chili Powder, Avocado, Beans, Cilantro, Lime, Salsa, Cumin, Corn",Dinner,109,Medium,Slow Cooking,3
8,Mediterranean,"Feta Cheese, Tomato, Chickpeas, Olive Oil, Cucumber, Garlic",Breakfast,12,Easy,Frying,5
9,American,"Mustard, Lettuce, Ketchup, Cheddar, Onion",Lunch,36,Easy,Frying,4
10,Indian,"Ginger, Cumin, Chili, Coriander, Yogurt, Garam Masala",Dessert,21,Hard,Boiling,6
11,French,"Flour, Cream, Cheese, Milk, White Wine, Butter, Thyme, Garlic, Eggs",Breakfast,78,Hard,Sauteing,3
12,American,"Cheddar, Ketchup, Tomato, Bacon, Mustard, Beef, Bun",Dessert,49,Hard,Baking,1
13,Mexican,"Beans, Corn, Lime, Tortilla",Dinner,56,Easy,Frying,1
14,Thai,"Chili, Fish Sauce, Coconut Milk, Lemongrass, Tamarind, Lime, Peanut, Rice Noodles, Basil, Shrimp",Dessert,31,Easy,Boiling,3
15,Thai,"Chili, Fish Sauce, Shrimp, Tamarind, Lime, Lemongrass, Peanut, Basil, Coconut Milk",Breakfast,52,Easy,Boiling,6
16,Mediterranean,"Chickpeas, Feta Cheese, Paprika, Olive Oil, Lemon, Cucumber, Tomato, Pita Bread, Yogurt, Garlic",Breakfast,30,Easy,Sauteing,4
17,Japanese,"Sesame Seeds, Miso, Wasabi, Mirin",Snack,22,Hard,Sauteing,6
18,Mexican,"Lime, Salsa, Cumin, Beans, Tortilla, Cheese, Avocado, Chili Powder, Corn, Cilantro",Breakfast,56,Easy,Roasting,3
19,Mexican,"Chili Powder, Salsa, Lime, Cumin",Breakfast,25,Medium,Roasting,2
20,Italian,"Mozzarella, Parmesan, Tomato, Garlic, Balsamic Vinegar, Bread",Snack,67,Medium,Steaming,6
21,Mexican,"Tortilla, Cumin, Salsa, Corn, Lime, Cilantro",Breakfast,12,Medium,Roasting,4
